id,index,label,kind,use_scene,icon_name,flag_names,official_source,visual_family,drawing_brief,replacement_state,art_status,runtime_bitmap_symbol,runtime_encoding,acceptance_rule,official_coverage,replacement_contract
CAT-000,0,APPLE PIE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `APPLE PIE` as a 16x16 snack silhouette with compact object readability; key cue: round fruit or pie with stem/leaf cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[0],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-001,1,BANANA,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `BANANA` as a 16x16 snack silhouette with compact object readability; key cue: curved crescent fruit cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[1],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-002,2,BBQ,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,"Draw `BBQ` as a 16x16 meal silhouette with plate/bowl readability; key cue: meat/plate cue, not a generic bowl.",needs_final_art,official section scene only,kCatalogEntryBitmaps[2],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-003,3,BEEF BOWL,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `BEEF BOWL` as a 16x16 meal silhouette with plate/bowl readability; key cue: bowl with beef topping cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[3],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-004,4,CHEESE,food,meal,icon_3,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `CHEESE` as a 16x16 meal silhouette with plate/bowl readability; key cue: wedge or cake block cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[4],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-005,5,CHEESE CAKE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CHEESE CAKE` as a 16x16 snack silhouette with compact object readability; key cue: wedge or cake block cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[5],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-006,6,CHERRY,food,snack,icon_7,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CHERRY` as a 16x16 snack silhouette with compact object readability; key cue: paired round fruit with stem cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[6],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-007,7,CHOCOLATE,food,snack,icon_5,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CHOCOLATE` as a 16x16 snack silhouette with compact object readability; key cue: segmented bar cue.,needs_final_art,official section scene only,kCatalogEntryBitmaps[7],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-008,8,COOKIE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `COOKIE` as a 16x16 snack silhouette with compact object readability; key cue: round cookie with dot chips.,needs_final_art,official section scene only,kCatalogEntryBitmaps[8],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-009,9,CORN,food,meal,icon_3,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `CORN` as a 16x16 meal silhouette with plate/bowl readability; key cue: cob with kernel rows.,needs_final_art,official section scene only,kCatalogEntryBitmaps[9],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-010,10,CORN DOG,food,snack,icon_4,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CORN DOG` as a 16x16 snack silhouette with compact object readability; key cue: cob with kernel rows; bun/sausage silhouette when paired with HOT or CORN.,needs_final_art,official section scene only,kCatalogEntryBitmaps[10],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-011,11,CUPCAKE,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `CUPCAKE` as a 16x16 snack silhouette with compact object readability; key cue: cup plus frosting top.,needs_final_art,official section scene only,kCatalogEntryBitmaps[11],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-012,12,CURRY,food,meal,icon_1,[],food/snack behavior reference,meal silhouette with plate/bowl readability,Draw `CURRY` as a 16x16 meal silhouette with plate/bowl readability; key cue: plate/bowl with sauce mound.,needs_final_art,official section scene only,kCatalogEntryBitmaps[12],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
CAT-013,13,DONUT,food,snack,icon_6,['snack'],food/snack behavior reference,snack silhouette with compact object readability,Draw `DONUT` as a 16x16 snack silhouette with compact object readability; key cue: ring with center hole.,needs_final_art,official section scene only,kCatalogEntryBitmaps[13],"16 uint16_t rows, high bit is leftmost pixel","catalog row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",source-backed substitute with official section scene reference,Replace only this 16x16 C++ row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
