row_id,domain,source_ids,claim,code_target,code_evidence,status,remaining_gap
EVID-001,shop_secret_gesture,OFF-HOWTO; WIKI-2024; GG-SPECIAL-2024,Secret-code entry is one A at the shop/shopkeeper followed by three quick A presses until surprise.,src/EchoPet.ino::handleShopSecretTap,kShopSecretTapGoal=4 plus a separate first-to-second pause window and quick follow-up tap window,PASS,Hardware still must prove T-Echo-Lite button repeat/hold timing does not add extra taps.
EVID-002,shop_windows,WIKI-2024; WIKI-ITEM-2024,"Regular shop restocks at 12 AM, 3 PM, and 7 PM; Ojitchi cart appears at 11 AM and 5 PM.",src/EchoPetCatalog.cpp::kShopRestockWindows/kShopVendorWindows,shop restock rows 00:00/15:00/19:00 and Ojitchi windows 11:00-12:00/17:00-18:00 are explicit,PASS,Exact Ojitchi availability duration is still substitute because sources name visit times but not a measured duration.
EVID-003,shop_sale,WIKI-ITEM-2024,"On random sale dates, regular shop items are 50% off.",src/EchoPetCatalog.cpp::kShopSaleRule,50% discount is explicit; sale is date-hash based with modulo 13 and vendor visits suppress sale,CODED-SUBSTITUTE,Exact sale frequency/date distribution remains unsourced.
EVID-004,game_rewards,WIKI-2024,Known 2024 top-prize table by stage and mini-game.,src/EchoPetModel.cpp::kGameRewardRules,stage/game top-prize table entries are present,PASS,Low-score table and Bump/Sprint probability curves remain exact-source blockers.
EVID-005,game_pacing,WIKI-2024; OFF-HOWTO,"Seven game goals are Get 100, Bump 8, Flag 9, Heading 20, Memory 20 patterns, Sprint 8, Hoops 30.",src/EchoPetModel.cpp::kGamePacingRules,game goal/round/score caps are explicit,PASS,Real e-paper readability and exact moment-to-moment timing remain hardware-gated.
EVID-006,medicine_sickness,WIKI-SICKNESS; WIKI-FAQ-2024,Toothache is triggered by fifteen consecutive sweet snacks in a short period.,src/EchoPetModel.cpp::kSweetSnackToothacheStreak/kSweetSnackShortPeriodMinutes,15-snack streak is explicit; short-period duration is a 60 pet-minute substitute,CODED-SUBSTITUTE,Official 2024 short-period length and cure probability remain exact-source blockers.
EVID-007,care_mistake_timing,WIKI-FAQ-2024,Ordinary care calls use a 15-minute care window; lights-left-on has a longer miss window.,src/EchoPetModel.cpp::kAttentionTimingRules,ordinary 15-minute miss and lights-left-on 60-minute miss rows are explicit,PASS,Hardware-visible attention icon/call cadence still needs observation.
EVID-008,death_passaway,WIKI-DEATH; WIKI-FAQ-2024,Connection-era death is constrained to neglect/sickness direction rather than age alone.,src/EchoPetModel.cpp::kPassAwayRules/stageSicknesses_,stage-local fourth-sickness and elder low-stat substitute rules are explicit,CODED-SUBSTITUTE,Exact 2024 Grim/pass-away thresholds and wording remain source blockers.
EVID-009,inventory_caps,WIKI-ITEM-2024,Meal and Snack storage share a 19-count cap; Items storage has a 32-count cap.,src/EchoPetModel.cpp::kMaxFoodStock/kMaxItemStock/buyCatalogItem,food catalog stock is capped at 19 total and item catalog stock at 32 total,PASS,Exact UI wording for full storage still needs hardware-readable screen proof.
EVID-010,default_foods,WIKI-ITEM-2024; WIKI-CARE,The default meals and snacks are permanent choices and do not run out.,src/EchoPetModel.h::FoodKind and src/EchoPetModel.cpp::useFood,default meals Scone/Sushi/Bread/Cereal and snacks Cone/Pudding/Tart/Apple are fixed enum rows,PASS,Exact visual bite timing remains a sprite/hardware proof item.
EVID-011,wallet_cap,WIKI-GOTCHI-POINTS; WIKI-2024,"Connection/V2-V3 style Gotchi Point wallet caps at 9,999.",src/EchoPetModel.cpp::kMaxGotchiPoints,Gotchi Point gains and save-load clamps reference the 9999 wallet cap,PASS,Exact point-gain low-score tables remain separate game-reward source gaps.
EVID-012,king_donation,WIKI-KING-2024,Donating 1000 Gotchi Points to the King unlocks the Super Unchikun-style no-mess cleanup projection.,src/EchoPetModel.cpp::kSuperCleanerDonation/actionDonate/updatePoop,"1000-point threshold, 100-point donations, souvenir award, and auto mess cleanup are explicit",CODED-SUBSTITUTE,Exact King congratulation/cutscene art remains source/visual blocker.
EVID-013,password_secret_tables,WIKI-CODE-2024; OFF-NEWS; GG-SPECIAL-2024,The 2024 password table has 32 10-digit entries and the shop secret-code table has seven A/B/C entries.,src/EchoPetModel.cpp::kPasswordRewards/kSecretCodeRewards,"password reward rows=32, shop secret-code rows=7",PASS,Older V3 password-generator compatibility remains out of scope until separately sourced.
EVID-014,link_game_requirements,WIKI-ITEM-2024; OFF-HOWTO,"Connection games include Gotchi Point plus item-backed Ball, RC Car, Rope, Building Block, Balloon, and Trumpet rows.",src/EchoPetModel.h::LinkGameKind and src/EchoPetModel.cpp::linkGameOwnedInBits,seven Connection game rows exist; item-backed rows require matching catalog ownership,PASS,"Exact dual-device timing, win animation, and reward odds remain DUAL/HW/source blockers."
EVID-015,item_dependencies,WIKI-ITEM-2024,Special item use restrictions and side effects should follow the listed Connection item behavior.,src/EchoPetModel.cpp::useCatalogItem,"Music Disc/Boom Box, Make-Up/Mirror, Shaver/Oyajitchi, Tama Drink, Honey, and gender enjoyment gates are explicit",PASS,Per-item scene art and exact destruction/probability rates remain visual/source blockers.
EVID-016,random_item_effects,WIKI-ITEM-2024,"Plant, Shovel, Chest, Fishing Pole, and Lamp use random reward/penalty branches, including exclusive item outcomes.",src/EchoPetModel.cpp::kCatalogRandomRules/chestLampExclusiveCatalogItem/useCatalogItem,"source-shaped branch counts, point rewards, lamp break chance, and exclusive-item pool are explicit",CODED-SUBSTITUTE,"Exact original probability tables, reward amounts, and full animation pacing remain substitute."
