id,index,label,semantic_source,visual_family,drawing_brief,replacement_state,art_status,runtime_bitmap_symbol,runtime_encoding,acceptance_rule,official_coverage,replacement_contract
SOU-000,0,FIRST HATCH,growth,hatch/baby growth memory,Draw `FIRST HATCH` as a 16x16 hatch/baby growth memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[0],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-001,1,BABY STEP,growth,hatch/baby growth memory,Draw `BABY STEP` as a 16x16 hatch/baby growth memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[1],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-002,2,FIRST MEAL,nurture_food,food or feeding memory,Draw `FIRST MEAL` as a 16x16 food or feeding memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[2],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-003,3,FIRST SNACK,nurture_food,food or feeding memory,Draw `FIRST SNACK` as a 16x16 food or feeding memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[3],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-004,4,CLEAN ROOM,nurture_toilet,cleaning/toilet memory,Draw `CLEAN ROOM` as a 16x16 cleaning/toilet memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[4],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-005,5,GOOD MEDS,nurture_medicine,medicine/recovery memory,Draw `GOOD MEDS` as a 16x16 medicine/recovery memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[5],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-006,6,LIGHTS OFF,nurture_lights,lights/sleep memory,Draw `LIGHTS OFF` as a 16x16 lights/sleep memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[6],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-007,7,TRAINING,nurture_training,discipline/training memory,Draw `TRAINING` as a 16x16 discipline/training memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[7],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-008,8,FIRST GAME,games,game prize or medal memory,Draw `FIRST GAME` as a 16x16 game prize or medal memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[8],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-009,9,SKIS,shop_items,shop item memory,Draw `SKIS` as a 16x16 shop item memory; key cue: paired skis cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[9],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-010,10,PALM TREE,shop_items,shop item memory,Draw `PALM TREE` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[10],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-011,11,SURFBOARD,shop_items,shop item memory,Draw `SURFBOARD` as a 16x16 shop item memory; key cue: long board cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[11],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-012,12,PANDA BEAR,shop_items,shop item memory,Draw `PANDA BEAR` as a 16x16 shop item memory; key cue: bear/plush face cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[12],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-013,13,MARACAS,shop_items,shop item memory,Draw `MARACAS` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[13],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-014,14,SPRINT RIB,games,game prize or medal memory,Draw `SPRINT RIB` as a 16x16 game prize or medal memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[14],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-015,15,HOOP MEDAL,games,game prize or medal memory,Draw `HOOP MEDAL` as a 16x16 game prize or medal memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[15],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-016,16,FIRST SHOP,shop_items,shop item memory,Draw `FIRST SHOP` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[16],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-017,17,BEST BUY,shop_items,shop item memory,Draw `BEST BUY` as a 16x16 shop item memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[17],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-018,18,SECRET CODE,password_secret,password/secret code memory,Draw `SECRET CODE` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[18],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-019,19,PASSWORD,password_secret,password/secret code memory,Draw `PASSWORD` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[19],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-020,20,DONATION,password_secret,password/secret code memory,Draw `DONATION` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[20],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-021,21,GIFT BOX,shop_items,shop item memory,Draw `GIFT BOX` as a 16x16 shop item memory; key cue: box/gift cue.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[21],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-022,22,VISIT TAG,connect,friend/connection memory,Draw `VISIT TAG` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[22],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-023,23,FRIEND BADGE,connect,friend/connection memory,Draw `FRIEND BADGE` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[23],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-024,24,BEST FRIEND,connect,friend/connection memory,Draw `BEST FRIEND` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[24],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-025,25,PARTNER,connect,friend/connection memory,Draw `PARTNER` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[25],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-026,26,BABY PHOTO,connect,friend/connection memory,Draw `BABY PHOTO` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[26],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-027,27,PARENT NOTE,connect,friend/connection memory,Draw `PARENT NOTE` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[27],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-028,28,GEN PHOTO,connect,friend/connection memory,Draw `GEN PHOTO` as a 16x16 friend/connection memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[28],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-029,29,BIRTHDAY,password_secret,password/secret code memory,Draw `BIRTHDAY` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[29],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-030,30,ANNIV 1,password_secret,password/secret code memory,Draw `ANNIV 1` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[30],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-031,31,ANNIV 2,password_secret,password/secret code memory,Draw `ANNIV 2` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[31],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
SOU-032,32,ANNIV 3,password_secret,password/secret code memory,Draw `ANNIV 3` as a 16x16 password/secret code memory tied to the named memory.,needs_final_art,official semantic scene/icon reference exists,kSouvenirMemoryBitmaps[32],"16 uint16_t rows, high bit is leftmost pixel","souvenir row must remain recognizable at native 16x16, at x2 proof scale, and when placed in the compact 64x64 main scene; it must not depend on text labels, anti-aliased grayscale, or runtime image files.",official semantic reference,Replace only this 16x16 C++ memory row in EchoPetCatalogVisuals.cpp or regenerate it with the manifest row id preserved. Do not add runtime PNG/JPG/GIF loading.
