id,group,section,source_log_line,case,expected,result_single,result_64x64,result_128x128,acceptance_status,source_readiness,requires,proof_type,screen_scope,remaining_gate,suggested_route,evidence_notes,source_evidence
HW-BTN-001,button,Button Acceptance,220,Esc short press,A/select cycles menu or cursor exactly once.,TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW button repeat / debounce observation,Start on HOME; press Esc once; verify the fixed menu/cursor advances exactly one slot.,,`EchoPetInput.cpp` maps Esc to A with TCA8418 bit7 treated as release and debounce enabled; `EchoPet.ino` routes A to fixed-icon/menu cursor advance.
HW-BTN-002,button,Button Acceptance,221,Home short press,B/confirm enters selected action exactly once.,TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW button repeat / debounce observation,Start on HOME; select a fixed menu icon; press Home once; verify the selected action opens once.,,`EchoPetInput.cpp` maps Home to B with TCA8418 bit7 treated as release and debounce enabled; `EchoPet.ino` routes B to action/menu confirmation.
HW-BTN-003,button,Button Acceptance,222,Email short press,C/cancel/status exits or backs out exactly once.,TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW button repeat / debounce observation,Enter any cancellable menu/status page; press Email once; verify cancel/back/status behavior once.,,`EchoPetInput.cpp` maps Email to C with TCA8418 bit7 treated as release and debounce enabled; `EchoPet.ino` routes C to status/back/cancel paths.
HW-BTN-004,button,Button Acceptance,223,Esc long press,HOLD event fires at threshold; no accidental repeated select unless screen defines it.,TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW long-threshold timing observation,Hold Esc past the long-press threshold; verify only the defined hold event fires.,,`kALong` is emitted at `kLongPressMs`; release-after-hold short event is suppressed.
HW-BTN-005,button,Button Acceptance,224,Home long press,"HOLD event fires at threshold; from home, opens `CLOCK` edit pause; pet time/growth does not advance while editing.",TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW long-threshold timing observation,Start on HOME; hold Home; verify CLOCK edit opens and pet ticking pauses during edit.,,`kBLong` enters CLOCK from home; model ticking is skipped while CLOCK edit is active.
HW-BTN-006,button,Button Acceptance,225,Email long press,"HOLD event fires at threshold; from home, opens sprite proof diagnostic path.",TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW long-threshold timing observation,Start on HOME; hold Email; verify the sprite proof diagnostic opens.,,`kCLong` enters the sprite proof diagnostic path from home.
HW-BTN-007,button,Button Acceptance,226,Release timing,No extra short-press event on release after long press.,TODO,,,TODO,READY,single_device,close_video_key_and_screen,active_device_profile,HW release timing observation,Trigger any long press; release the key; verify no trailing short press fires.,,`tcaLongSent` and `alreadySentLong` suppress a trailing short event after HOLD.
HW-REF-001,refresh,Refresh Acceptance,232,Cold boot,"No corrupted boot frame, menu visible.",TODO,,,TODO,READY,single_device,continuous_video,active_device_profile,HW boot-frame observation,Power or reset the device; record from blank panel through the first stable EchoPet frame.,,`setup()` initializes display then renders one full boot frame with fixed menus.
HW-REF-002,refresh,Refresh Acceptance,233,Idle 5 minutes,"No progressive whitening, ghosting acceptable.",TODO,,,TODO,READY,single_device,continuous_video,active_device_profile,HW whitening / ghosting observation,Leave HOME idle for five minutes; record enough panel refreshes to catch whitening or ghosting.,,"Refresh path uses frame diff, a minimum submit interval, and synchronous whole-frame partial submit after initial full refresh."
HW-REF-003,refresh,Refresh Acceptance,234,Menu cycling 50 presses,"Selection moves, no full-screen intrusive flashes.",TODO,,,TODO,READY,single_device,continuous_video,active_device_profile,HW high-rate button + panel pacing observation,Press Esc fifty times from HOME; record selection movement and panel behavior.,,Fixed-icon selection changes redraw through the partial-refresh pipeline.
