id,backlog_id,section,backlog_line,task,gate,status_class,domain,blocker_type,open_need,evidence_class,confidence_gate,acceptance_gate,candidate_source_ids,implementation_hints,replacement_action,current_status
SRC-001,P1.02,P1 Care Action Flow Completion,66,Make toilet mess timing source-backed.,SPEC/DATA,CODED-SUBSTITUTE,care_timing,exact_source,Exact Connection 2024 poop interval by life stage.,"official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-CARE; WIKI-FAQ-2024; CURL-ENTAMA-CARE; HW-TECHO,kStageCareTimingRules; kStatDecayRules; checkPoop,replace stage care timing/stat decay rows,"CODED-SUBSTITUTE: general poo stacking/sickness and Super Unchikun auto-clean behavior are sourced and coded; poop interval now uses a stage-shaped cross-version table from `CURL-ENTAMA-CARE` instead of one fixed period: Baby 6, Child 80, Teen 100, Adult/Parent 140, and Elder 160 pet-minutes. Exact Connection 2024 poop interval by life stage remains missing"
SRC-002,P1.04,P1 Care Action Flow Completion,68,Make medicine dosage/refusal/cure probability source-backed.,SPEC/DATA,CODED-SUBSTITUTE,medicine_sickness,exact_source,"Exact sickness probability, official toothache short-period length, and medicine cure/timing probabilities.","official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,OFF-MANUAL; WIKI-SICKNESS; WIKI-DEATH; WIKI-FAQ-2024; HW-TECHO,kSicknessTriggerRules; kSweetSnackToothacheStreak; kSweetSnackShortPeriodMinutes; stageSicknesses_,replace sickness/toothache probability or duration rows,"CODED-SUBSTITUTE: official/manual sources cover skull/tooth medicine use, possible multi-dose sickness, no-sickness refusal, and sickness refusal of food/games/items; firmware now refuses meal/snack/game/item/catalog-use while sick/toothache with `SICK` notice, uses one-dose toothache cure and possible multi-dose sickness cure, persists a 60 pet-minute substitute sweet-snack short-period window, persists stage-local sickness count in save v10, escalates missed toothache-only care to sickness before care-mistake counting, can pass away on the fourth sickness in one growth stage, and centralizes low-hygiene/mess/high-weight/sweet-snack sickness risk in explicit `SicknessTriggerRule` rows; exact sickness probability, official toothache short-period length, and cure/timing probabilities remain substitute"
SRC-003,P2.06,P2 Core Pet Model,84,Specify death/pass-away/runaway thresholds.,SPEC,CODED-SUBSTITUTE,death_passaway,exact_source,Exact 2024 Grim/pass-away threshold and wording.,"official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,WIKI-DEATH; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,kPassAwayRules; stageSicknesses_,replace pass-away threshold rows and regenerate growth coverage,"CODED-SUBSTITUTE: source ledger records no old-age death for Connection 2024 seniors, neglect/sickness as the death direction, and a Connection-era fourth-sickness-in-one-stage death rule; exact Grim Gotchi threshold remains missing"
SRC-004,P2.07,P2 Core Pet Model,85,Implement death/pass-away/runaway from sourced thresholds.,CODE/UI,CODED-SUBSTITUTE,death_passaway,exact_source,"Exact sourced pass-away thresholds to replace current elder, low-stat, and fourth-sickness substitute behavior.","official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,WIKI-DEATH; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,checkDeath; kPassAwayRules; stageSicknesses_,replace pass-away threshold rows and regenerate growth coverage,"CODED-SUBSTITUTE: elder pass-away no longer triggers from age/low friendship alone; it requires low friendship, accumulated care mistakes, and a currently low stat condition. Repeated sickness now uses a stage-local persisted counter and passes away at the fourth sickness in one growth stage"
SRC-005,P3.04,"P3 Food, Items, Shop, Password, Souvenir",95,Source shop stock/restock/price rules.,SPEC/DATA,CODED-SUBSTITUTE,shop_catalog,exact_source,"Exact sale date frequency, seasonal collision priority, and Ojitchi cart availability duration.","official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,do not mark final until the exact external value is sourced; current substitute must remain labeled substitute,OFF-HOWTO; OFF-NEWS; WIKI-2024; WIKI-ITEM-2024; WIKI-CODE-2024; GG-SPECIAL-2024; CURL-2024-EVENTS,kShopRestockWindows; kShopSaleRules; kShopVendorWindows,replace shop/catalog rule rows and regenerate catalog/resource reports,"CODED-SUBSTITUTE: 4-slot stock mapping, explicit `ShopRestockWindow` rows for sourced 12 AM / 3 PM / 7 PM restock periods, date-source-backed birthday/holiday substitutions including Dec 23/24 Whole Cake plus Turkey in slots 0/1, explicit `ShopSaleRule` 50% sale pricing, and explicit `ShopVendorWindow` rows for Ojitchi 11 AM / 5 PM single-item cart are coded. Sale date frequency, exact seasonal collision priority, and exact cart availability duration remain substitute because current sources only say random sale dates and 11 AM / 5 PM visits."
SRC-006,P4.02,P4 Games,109,Source exact reward curves and stat effects.,SPEC/DATA,CODED-SPEC,game_rewards,exact_source,"Official low-score scaling, Bump/Sprint probability curves, and non-point stat effects.","official table/manual, cross-checked source, or hardware sample with exact value",do not mark final until the exact external value is sourced,do not mark final until the exact external value is sourced,OFF-HOWTO; OFF-MANUAL; WIKI-2024; TAMATALK-BUMP-V3; TAMATALK-MEMORY-V3; HW-TECHO,kGameRewardRules; kBumpPrizeChart; kGamePacingRules,replace explicit reward/probability table rows and regenerate coverage,"CODED-SPEC: standard-game top Gotchi Point prizes are sourced from `WIKI-2024`; known-length games now use source-length round/score caps for Get/Bump/Flag/Heading/Memory/Sprint/Hoops; perfect-care reversal tests against the active per-game score cap; Flag fake-signal `WAIT` rounds are modeled as short prompts where pressing misses and waiting scores; Memory uses the sourced 20-pattern schedule with two final 8-arrow A/B/C patterns from the 2024 source pass; Bump uses the V3-style 0-8 round weight-band prize chart; game refusal and post-win weight loss now use a stage base-weight table instead of hunger/energy gates; Bump still uses heavier-weight power bias and Sprint uses lighter-weight tap/chance bias. Official low-score scaling, exact Bump/Sprint probability curves, and exact non-point stat effects still need exact tables"
SRC-007,P7.02,P7/P11 Visual And Resource Production,152,Build 150+ item manifest with source IDs and icon/use animation.,DATA,CODED-PARTIAL,visual_art,final_art,Accepted final art for 148 catalog rows and 62 souvenir rows.,rights-cleared C++ bitmap replacement row or explicit user acceptance,do not mark final until replacement art is accepted; current partial row must remain open,do not mark final until replacement art is accepted; current partial row must remain open,OFF-HOWTO; OFF-CHAR; LOCAL-GIF; resource_drawing_spec; user-accepted replacement pack,kCatalogEntryBitmaps; kSouvenirMemoryBitmaps; catalog_art_drawing_spec,replace C++ bitmap rows or mark user-accepted final art in the manifest,"CODED-PARTIAL: 160 catalog rows now expose kind/behavior/price/source/use-scene plus a stable low-resource `visualTraits` byte consumed by catalog previews and use scenes; 160 explicit C++ preview bitmap rows exist; 12 unambiguous non-souvenir item rows have official-source item-icon overrides (PENCIL 48/112, CAP 58/122, SHOVEL 54/118, BALL 60, BALLOON 56/63/120, TRUMPET 84/141); the catalog item official-reference proof now includes a 152-row semantic-status sheet; 64 souvenir rows have per-memory C++ source bitmaps plus an official semantic proof manifest, with TRUMPET and BALL PLAY generated from unambiguous official item-icon crops; `analysis/resource_replacement_manifest/` now exposes JSON/CSV row-local replacement contracts for all 160 catalog rows and 64 souvenir rows, leaving 148 catalog rows and 62 souvenir rows needing accepted final art"
SRC-008,P7.04,P7/P11 Visual And Resource Production,154,Add missing hatch/crack/egg frames.,DATA/CODE/UI,CODED,visual_art,mixed_art_hardware,Accepted official-look egg/crack/hatch final art plus hardware proof.,accepted final art plus T-Echo-Lite readability/refresh proof,do not mark final until both final art and hardware evidence exist,do not mark final until both final art and hardware evidence exist,OFF-HOWTO; OFF-CHAR; LOCAL-GIF; resource_drawing_spec; user-accepted replacement pack,kEgg0; kEggCrack0; kEggHatch,replace C++ bitmap rows or mark user-accepted final art in the manifest,"CODED: egg idle face, low-resource crack frames, and hatch frame are composited inside the shell; exact official-look final art and hardware proof remain open"
SRC-009,P7.08,P7/P11 Visual And Resource Production,159,"Add character fallback policy, active frame-family routing, and manifest coverage report.",SIM,CODED,growth_family,mixed_source_hardware,Exact same-pool character selection probability and hardware readability proof.,exact source value plus T-Echo-Lite photo/video or timing observation,do not mark final until both exact source and hardware evidence exist,do not mark final until both exact source and hardware evidence exist,WIKI-CHAR-2024; WIKI-FAQ-2024; GG-GROWTH-2024; HW-TECHO,kCharacterCatalogBitmaps; kCharacterIdleBitmaps,replace growth/family timing or probability rows,CODED: 50 catalog rows now route idle visuals through 50 official-derived C++ idle rows with 9 fallback frame families and a row-local official/source status report; source-side art acceptance is closed by zero review flags. Exact same-pool growth-route probability and hardware readability remain open.
SRC-010,P8.03a,P8 Animation Contracts,169,Route discipline TIME OUT/PRAISE/invalid/attention/missed visible feedback.,CODE/UI,CODED-SUBSTITUTE,hardware,hardware_only,Hardware readability proof for discipline scene pacing.,T-Echo-Lite photo/video or two-device observation,do not mark final until real T-Echo-Lite evidence is recorded; current substitute must remain labeled substitute,do not mark final until real T-Echo-Lite evidence is recorded; current substitute must remain labeled substitute,HW-TECHO,kDisciplineSceneAnimationMs; drawDisciplineScene,record hardware evidence in T_ECHO_LITE_HARDWARE_ACCEPTANCE.md,"CODED-SUBSTITUTE: compact scene frames are active and `kDisciplineSceneAnimationMs` now keeps the page on explicit scene pacing instead of home idle pacing; official/local GIF timing metadata is included in parity coverage, while hardware readability remains open"
